ID,Título,Ano,Contexto - Domínio,Domínio,Pergunta,Resposta,Justificativa,Study,,Classification,,Nome,Ano,Key,,FEITO,A FAZER
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Aplicabilidade,D3,O padrão de referência é adequado para avaliar desempenho em NILM?,Some concerns,"O padrão de referência (dados de consumo de energia agregada) é adequado para avaliar o desempenho na previsão de carga do edifício, que é o objetivo principal declarado no título e resumo. ",Some concerns,,,,Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,11,,,
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Risco de Viés,D4,Todos os dados disponíveis foram incluídos na análise final?,Some concerns,O artigo não afirma explicitamente que todos os dados disponíveis foram incluídos na análise final.,Some concerns,,,,Machine learning approach for non-intrusive load monitoring in smart grids: new deep learning method based on long short-term memory and convolutional neural networks,2022,12,,,
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Risco de Viés,D4,O estudo explica se houve exclusão de amostras ou classes e por quê?,No information,"Não, o estudo não explica se houve exclusão de amostras ou classes de dados, nem os motivos para tal exclusão.",,,,,MOGA designed neural networks for non-intrusive load monitoring,2022,13,,,
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Risco de Viés,D4,"As métricas de desempenho (F1-score, acurácia, etc.) foram reportadas de forma clara e completas (com variância)?",Some concerns,"Foram apresentados valores de F1-score por fold na Tabela 5, além de precisão, recall e acurácia. Embora não haja desvio padrão explícito.",,,,,Real-Time Non-Intrusive Load Monitoring: A Machine-Learning Approach for Home Appliance Identification,2021,14,,,
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Aplicabilidade,D4,A análise de desempenho está alinhada com os objetivos da revisão?,Low,"O foco na previsão de carga e desagregação NILM, com comparação entre diferentes modelos e destaque para o desempenho do modelo proposto.",Low,,,,Low-Complexity Non-Intrusive Load Monitoring Using Unsupervised Learning and Generalized Appliance Models,2019,15,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Risco de Viés,D1,"A população utilizada no estudo é representativa do contexto real de aplicação (residencial, industrial, smart grid)?",Low,"Sim, a população utilizada é representativa do contexto real de aplicação residencial. ",Low,,,,Supervised non-intrusive load monitoring algorithm for identifying different operating states of type-II residential appliances,2022,16,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Risco de Viés,D1,Os critérios de inclusão e exclusão dos dados foram claramente descritos?,No information,"Não, os critérios de inclusão e exclusão dos dados específicos utilizados neste estudo não são claramente descritos.",,,,,"Non-Intrusive Load Classification and Recognition Using Soft-Voting Ensemble Learning Algorithm With Decision Tree, K-Nearest Neighbor Algorithm and Multilayer Perceptron",2023,17,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Risco de Viés,D1,Os dados foram coletados prospectivamente ou retrospectivamente?,Low,"Os dados foram coletados retrospectivamente, uma vez que o estudo utiliza o conjunto de dados UK-DALE, que é um dataset pré-existente e público.",,,,,Energy Disaggregation Using Multi-Objective Genetic Algorithm Designed Neural Networks,2022,18,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Aplicabilidade,D1,Os dados usados no estudo são aplicáveis ao problema de NILM em sistemas reais?,Low,"Sim, os dados usados no estudo são altamente aplicáveis ao problema de NILM em sistemas reais.",Low,,,,New hybrid deep learning models for multi-target NILM disaggregation,2023,19,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Risco de Viés,D2,O algoritmo de ML foi claramente descrito e implementável (reprodutível)?,Low,"Sim, os algoritmos de ML utilizados (Adaptive-Neuro Fuzzy Interface System - ANFIS, e Fine Tree Classifier) são descritos de forma razoavelmente clara, e a metodologia é explicada em um nível que sugere reprodutibilidade.",Low,,,,New parallel hybrid PHCNN-GRU deep learning model for multi-output NILM disaggregation,2025,20,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Risco de Viés,D2,Os hiperparâmetros e configurações do modelo foram reportados?,Low,"Sim, os hiperparâmetros e configurações do modelo foram reportados.",,,,,A non-intrusive load monitoring algorithm based on multiple features and decision fusion,2021,21,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Risco de Viés,D2,O treinamento e a validação foram realizados em conjuntos de dados separados (cross-validation ou holdout)?,Low,"Sim, o treinamento e a validação foram realizados em conjuntos de dados separados. A Seção IV ""Dataset Description"" menciona a divisão dos dados em conjuntos de treinamento e teste, especificando ""The first 70% of the data is used for training, and the last 30% is used for testing"". Esta é uma abordagem de holdout.",,,,,Comparing four machine learning algorithms for household non-intrusive load monitoring,2024,22,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Aplicabilidade,D2,A abordagem de ML utilizada está alinhada com o problema de NILM descrito na revisão?,Low,"Sim, a abordagem de aprendizado supervisionado com ANFIS está bem alinhada com o problema de NILM, pois utiliza dados agregados para estimar o consumo individual de aparelhos.",Low,,,,Towards Identification of Appliances in Conventional Homes using ML and Descriptive Statistics,2022,23,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Risco de Viés,D3,"O estudo descreve de forma adequada o ground truth utilizado para avaliação (ex: dados rotulados, sensor de referência)?",Low,"Sim, o estudo descreve de forma adequada o ground truth utilizado.",Low,,,,Comparison of non-intrusive load monitoring supervised methods using harmonics as feature,2022,24,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Risco de Viés,D3,O padrão de referência é independente do modelo treinado?,Low,"Sim, o padrão de referência é baseado nos dados reais do conjunto UK-DALE e não depende do modelo treinado.",,,,,Nonintrusive Real Time Classification of Home and Office Appliances from Smart Meter by Using Machine Learning Techniques,2019,25,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Aplicabilidade,D3,O padrão de referência é adequado para avaliar desempenho em NILM?,Low,"Sim, o padrão de referência (dados de sub-metering para aparelhos individuais no dataset UK-DALE) é altamente adequado para avaliar o desempenho em NILM.",Low,,,,Flexibility characterization of residential electricity consumption: A machine learning approach,2022,26,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Risco de Viés,D4,Todos os dados disponíveis foram incluídos na análise final?,No information,"O artigo não especifica se todos os dados disponíveis do dataset UK-DALE foram incluídos na análise final, além da divisão de 70% para treinamento e 30% para teste. Não há menção de exclusão de casas ou períodos de tempo específicos do dataset.",No information,,,,Non-Intrusive Appliance Identification Using Machine Learning and Time-Domain Features,2022,27,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Risco de Viés,D4,O estudo explica se houve exclusão de amostras ou classes e por quê?,No information,"Não, o estudo não explica se houve exclusão de amostras ou classes de dados (como certos tipos de aparelhos ou períodos de tempo) ou os motivos para tal exclusão.",,,,,A Comparative Study of Machine Learning Classifiers for Electric Load Disaggregation based on an extended NILM dataset,2021,28,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Risco de Viés,D4,"As métricas de desempenho (F1-score, acurácia, etc.) foram reportadas de forma clara e completas (com variância)?",Some concerns,"Sim, as métricas de desempenho, incluindo precisão, recall e F1-score, foram relatadas de forma clara, mas a variância não foi explicitada no artigo.",,,,,"Identification of Household Electric Load Based on Harmonic Parameters Using SVM, RF, and DT Algorithms",2023,29,,,
[8],Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,Aplicabilidade,D4,A análise de desempenho está alinhada com os objetivos da revisão?,Low,"Sim, a análise de desempenho com base nas métricas de precisão, recall e F1-score está totalmente alinhada com o objetivo de avaliar a eficácia do modelo NILM.",Low,,,,Non-Intrusive Load Monitoring of Residential Loads via Laplacian Eigenmaps and Hybrid Deep Learning Procedures,2022,30,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Risco de Viés,D1,"A população utilizada no estudo é representativa do contexto real de aplicação (residencial, industrial, smart grid)?",Low,"A população utilizada foi baseada em dados residenciais do conjunto de dados ""REDD"", que representa um ambiente real de consumo de energia residencial. ",Low,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Risco de Viés,D1,Os critérios de inclusão e exclusão dos dados foram claramente descritos?,Some concerns,"Não, os critérios de inclusão e exclusão específicos dos dados não foram claramente descritos além da menção de uso de dados da ""house 1"" do dataset REDD.",,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Risco de Viés,D1,Os dados foram coletados prospectivamente ou retrospectivamente?,Low,"Os dados usados no estudo foram coletados retrospectivamente, a partir do conjunto de dados ""REDD"", que contém medições de consumo realizadas anteriormente.",,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Aplicabilidade,D1,Os dados usados no estudo são aplicáveis ao problema de NILM em sistemas reais?,Low,"Sim, os dados utilizados são de um ambiente real de consumo de energia residencial, sendo, portanto, aplicáveis ao problema de NILM (Non-Intrusive Load Monitoring) em sistemas reais.",Low,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Risco de Viés,D2,O algoritmo de ML foi claramente descrito e implementável (reprodutível)?,Low,"O algoritmo de aprendizado de máquina foi descrito com clareza, incluindo etapas detalhadas como detecção de picos, clustering e a técnica de desagregação de energia baseada em pesos binários.",Low,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Risco de Viés,D2,Os hiperparâmetros e configurações do modelo foram reportados?,Low,"Sim, os hiperparâmetros importantes, como o número de clusters para o k-means e a seleção do limiar para a detecção de picos, foram discutidos, embora o artigo não forneça valores exatos para todos os parâmetros.",,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Risco de Viés,D2,O treinamento e a validação foram realizados em conjuntos de dados separados (cross-validation ou holdout)?,No information,O estudo não descreve explicitamente uma divisão de treinamento e validação/teste tradicional (como holdout ou cross-validation) para um modelo de ML que aprende com dados rotulados.,,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Aplicabilidade,D2,A abordagem de ML utilizada está alinhada com o problema de NILM descrito na revisão?,Low,"Sim, a abordagem está alinhada com o problema de NILM.",Low,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Risco de Viés,D3,"O estudo descreve de forma adequada o ground truth utilizado para avaliação (ex: dados rotulados, sensor de referência)?",Low,"Sim, o estudo descreve de forma adequada o ground truth utilizado.",Low,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Risco de Viés,D3,O padrão de referência é independente do modelo treinado?,Low,"Sim, o padrão de referência (ground truth) é independente do modelo treinado, pois é fornecido diretamente pelo conjunto de dados ""REDD"".",,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Aplicabilidade,D3,O padrão de referência é adequado para avaliar desempenho em NILM?,Low,"Sim, o padrão de referência utilizado é adequado, pois os dados de consumo de energia dos dispositivos são precisos e rotulados, sendo uma boa base para avaliar a desagregação de energia.",Low,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Risco de Viés,D4,Todos os dados disponíveis foram incluídos na análise final?,No information,"Não, apenas os dados dos dispositivos com consumo de energia significativo foram utilizados na análise final.",No information,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Risco de Viés,D4,O estudo explica se houve exclusão de amostras ou classes e por quê?,No information,"Não, o estudo não explica se houve exclusão de amostras (como dados com ruído excessivo ou períodos específicos) ou classes de aparelhos, nem os motivos para tal exclusão.",,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Risco de Viés,D4,"As métricas de desempenho (F1-score, acurácia, etc.) foram reportadas de forma clara e completas (com variância)?",Some concerns,"Sim, as métricas de desempenho, como precisão, recall e F1-score, foram apresentadas de forma clara. No entanto, a variância das métricas não foi discutida no artigo.",,,,,,,,,,
[9],A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,Aplicabilidade,D4,A análise de desempenho está alinhada com os objetivos da revisão?,Low,"Sim, a análise de desempenho está alinhada com os objetivos da revisão, pois o estudo visa melhorar a desagregação de energia e avaliar o desempenho do algoritmo proposto em comparação com outras técnicas existentes.",Low,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Risco de Viés,D1,"A população utilizada no estudo é representativa do contexto real de aplicação (residencial, industrial, smart grid)?",Low,"Sim, a população utilizada é representativa do contexto real de aplicação residencial.",Low,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Risco de Viés,D1,Os critérios de inclusão e exclusão dos dados foram claramente descritos?,No information,"Não, os critérios de inclusão e exclusão dos dados não foram claramente descritos.",,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Risco de Viés,D1,Os dados foram coletados prospectivamente ou retrospectivamente?,Low,"Os dados foram coletados retrospectivamente, isso indica que os dados já existiam antes da pesquisa.",,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Aplicabilidade,D1,Os dados usados no estudo são aplicáveis ao problema de NILM em sistemas reais?,Low,"Sim, os dados usados no estudo foram coletados de dispositivos domésticos reais, tornando-os aplicáveis ao problema de NILM em sistemas reais de monitoramento de consumo energético.",Low,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Risco de Viés,D2,O algoritmo de ML foi claramente descrito e implementável (reprodutível)?,Low,"Sim, o algoritmo de aprendizagem de máquina utilizado foi descrito de forma clara. A abordagem multi-rótulo com K-NN (K-Nearest Neighbors) foi implementada, tornando o processo reprodutível.",Low,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Risco de Viés,D2,Os hiperparâmetros e configurações do modelo foram reportados?,Some concerns,"Não, os hiperparâmetros e configurações detalhadas do modelo de Machine Learning (o classificador multi-rótulo do Scikit-learn) não foram reportados.",,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Risco de Viés,D2,O treinamento e a validação foram realizados em conjuntos de dados separados (cross-validation ou holdout)?,Low,"O estudo utilizou uma divisão de 70% para treinamento e 30% para teste, configurando uma validação do tipo holdout.",,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Aplicabilidade,D2,A abordagem de ML utilizada está alinhada com o problema de NILM descrito na revisão?,Low,"Sim, a abordagem de aprendizado supervisionado foi especificamente adaptada para o problema de NILM, utilizando o consumo agregado de energia para a classificação dos dispositivos.",Low,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Risco de Viés,D3,"O estudo descreve de forma adequada o ground truth utilizado para avaliação (ex: dados rotulados, sensor de referência)?",Low,"O ""ground truth"" foi obtido a partir de dados rotulados manualmente, criando um conjunto de validação para avaliar a precisão do modelo.",Low,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Risco de Viés,D3,O padrão de referência é independente do modelo treinado?,Low,"Sim, o padrão de referência (dados rotulados) é independente do modelo treinado, sendo utilizado para validar a saída do modelo de ML.",,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Aplicabilidade,D3,O padrão de referência é adequado para avaliar desempenho em NILM?,Low,"Sim, o padrão de referência utilizado, baseado em dados reais e rotulados de dispositivos domésticos, é adequado para avaliar o desempenho do modelo de NILM.",Low,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Risco de Viés,D4,Todos os dados disponíveis foram incluídos na análise final?,High,"Não, o estudo focou em um subconjunto específico de dados (1200 amostras) para treinamento e validação, representando as combinações mais comuns de dispositivos.",Some concerns,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Risco de Viés,D4,O estudo explica se houve exclusão de amostras ou classes e por quê?,No information,"O estudo não fornece detalhes sobre a exclusão de amostras ou classes específicas, mas foi feita uma seleção de dispositivos com características típicas para o ambiente doméstico.",,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Risco de Viés,D4,"As métricas de desempenho (F1-score, acurácia, etc.) foram reportadas de forma clara e completas (com variância)?",Some concerns,"Sim, as métricas de desempenho como precisão, recall e F1-score foram reportadas de forma clara, mas a variância não foi explicitamente mencionada.",,,,,,,,,,
[10],A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,Aplicabilidade,D4,A análise de desempenho está alinhada com os objetivos da revisão?,Low,"Sim, a análise de desempenho está alinhada com os objetivos do estudo, que visa implementar uma solução de NILM para monitoramento de consumo energético em tempo real, utilizando uma plataforma embarcada.",Low,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Risco de Viés,D1,"A população utilizada no estudo é representativa do contexto real de aplicação (residencial, industrial, smart grid)?",Low,"Sim, a população utilizada é representativa do contexto real de aplicação residencial.",Low,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Risco de Viés,D1,Os critérios de inclusão e exclusão dos dados foram claramente descritos?,Some concerns,"Não, os critérios de inclusão e exclusão específicos dos dados não foram claramente descritos.",,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Risco de Viés,D1,Os dados foram coletados prospectivamente ou retrospectivamente?,Low,"Os dados foram coletados retrospectivamente, uma vez que o estudo utiliza os conjuntos de dados REDD e UK-DALE, que são datasets pré-existentes e públicos.",,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Aplicabilidade,D1,Os dados usados no estudo são aplicáveis ao problema de NILM em sistemas reais?,Low,"Sim, os dados usados no estudo são altamente aplicáveis ao problema de NILM em sistemas reais.",Low,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Risco de Viés,D2,O algoritmo de ML foi claramente descrito e implementável (reprodutível)?,Low,"Sim, o algoritmo de ML, que é uma arquitetura de Rede Neural Convolucional (CNN) orientada a eventos, é descrito de forma razoavelmente clara e parece ser implementável.",Low,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Risco de Viés,D2,Os hiperparâmetros e configurações do modelo foram reportados?,Low,"Sim, os hiperparâmetros e configurações do modelo foram reportados.",,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Risco de Viés,D2,O treinamento e a validação foram realizados em conjuntos de dados separados (cross-validation ou holdout)?,Low,"Sim, o treinamento e a validação foram realizados em conjuntos de dados separados usando uma abordagem de holdout.",,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Aplicabilidade,D2,A abordagem de ML utilizada está alinhada com o problema de NILM descrito na revisão?,Low,"Sim, a abordagem de aprendizado supervisionado utilizando CNN está totalmente alinhada com o problema de NILM, pois foi projetada para identificar dispositivos de consumo energético a partir de sinais de corrente em tempo real.",Low,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Risco de Viés,D3,"O estudo descreve de forma adequada o ground truth utilizado para avaliação (ex: dados rotulados, sensor de referência)?",Low,"Sim, o ""ground truth"" utilizado foi derivado de dados rotulados dos dispositivos monitorados, garantindo a precisão na avaliação do modelo de NILM.",Low,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Risco de Viés,D3,O padrão de referência é independente do modelo treinado?,Low,"O padrão de referência (os dados rotulados) é independente do modelo treinado, pois são usados como dados de entrada para validar a precisão do modelo de NILM.",,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Aplicabilidade,D3,O padrão de referência é adequado para avaliar desempenho em NILM?,Low,"Sim, o padrão de referência é adequado, pois foi extraído de dispositivos domésticos reais e foi utilizado para validar a precisão do modelo em condições práticas de consumo.",Low,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Risco de Viés,D4,Todos os dados disponíveis foram incluídos na análise final?,Some concerns,"Não, os dados foram divididos em dois conjuntos (70% para treinamento e 30% para teste), de modo que nem todos os dados disponíveis foram utilizados na análise final.",Some concerns,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Risco de Viés,D4,O estudo explica se houve exclusão de amostras ou classes e por quê?,No information,"O estudo não detalha explicitamente a exclusão de amostras ou classes, mas menciona que apenas dados de dispositivos com consumo significativo de energia foram considerados.",,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Risco de Viés,D4,"As métricas de desempenho (F1-score, acurácia, etc.) foram reportadas de forma clara e completas (com variância)?",Some concerns,"Sim, as métricas de desempenho são reportadas de forma clara e apropriada para a tarefa de NILM.",,,,,,,,,,
[11],An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,Aplicabilidade,D4,A análise de desempenho está alinhada com os objetivos da revisão?,Low,"Sim, a análise de desempenho está alinhada com os objetivos do estudo, que visam melhorar a precisão do NILM, especialmente em cenários de uso residencial com múltiplos dispositivos em operação simultânea.",Low,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Risco de Viés,D1,"A população utilizada no estudo é representativa do contexto real de aplicação (residencial, industrial, smart grid)?",Low,"A população utilizada no estudo é composta por 6 residências e 6 veículos elétricos (EVs) localizados nos Estados Unidos, com dados coletados durante um período de dois anos. Isso é representativo do contexto residencial e smart grid.",Low,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Risco de Viés,D1,Os critérios de inclusão e exclusão dos dados foram claramente descritos?,Some concerns,"Os critérios de inclusão e exclusão dos dados são parcialmente descritos, mas não de forma exaustiva.",,,,,,,,,,
